Ten_Sach;SKU;The_Loai;Gia;Ten_NCC;Ten_NXB;Nam_XB;Ten_Tac_Gia;Trong_Luong;Kich_Thuoc;So_Trang;Hinh_Thuc;Mo_Ta
"National Geographic Kids - Sinh Tồn Bất Chấp ""Gian Nguy""";SKU: 8934974172352;Loại sản phẩm: Nhóm Sách Thiếu Nhi;209,720₫;;;;;;;;;"Bộ sách National Geographic Kids gồm 5 tựa in màu, là bộ sách khoa học dành cho thiếu nhi với nhiều đề tài thú vị, giải đáp thắc mắc, kiến thức về cơ thể người hấp dẫn, những câu chuyện huyền bí, đáng sợ, những bí kíp cần thiết khi sống còn... Cuộc sống có những thử thách bất ngờ không dự đoán trước được, có những việc nhỏ nhặt như chuyển trường, lỡ té sấp mặt trước đám đông đến những ""gặp gỡ"" nguy hại đến tính mạng như gấu xám, tuyết lở, cháy rừng... Sinh tồn bất chấp ""gian nguy"" sẽ gợi ý cho bạn tất tần tật những bí kíp để bạn có thể tồn tại và vượt qua các vấn đề gian nan đủ mọi mức độ. Có đôi khi bạn đọc trên báo tình huống bạn trẻ bị tấn công trên mạng, quá bế tắc mà tự sát, bạn có thể nghĩ họ quá dại dột, nhưng nếu là bạn gặp phải thì sao, giải quyết như thế nào, cầu cứu những ai, hãy tìm giải đáp trong Sinh tồn bất chất ""gian nguy"" nhé."
Bí Mật Đen Tối;SKU: 8934974161820;Loại sản phẩm: Nhóm Sách Văn Học Nước Ngoài;107,100₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Michael Hjorth;660;13 x 20;716;Bìa Mềm;Khi Cục Điều tra Tội phạm nhờ Sebastian giúp sức trong vụ án mạng Roger, với tính kiêu ngạo của mình, ban đầu Sebastian tỏ ra xa cách với đồng đội. Nhưng rồi khi đi sâu vào vụ án, ông bắt xóa bỏ dần khoảng cách và cùng đội điều tra phát hiện ra những bất thường tại trường tư thục Roger đang theo học. Câu chuyện mở màn bằng một cuộc gọi đến sở cảnh sát. Roger Eriksson, một thiếu niên bị mất tích trong thị trấn thuộc tỉnh lị Västerås. Cuộc tìm kiếm nhanh chóng được tổ chức và một nhóm hướng đạo sinh trẻ tuổi trong lần khảo sát đầm lầy đã phát hiện ra sự thật khủng khiếp: Roger bị chết thảm. Cùng lúc đó, Sebastian Bergman - chuyên gia tâm lí học, điều tra viên hình sự đồng thời là chuyên gia hàng đầu Thụy Điển về các vụ giết người hàng loạt - đang ở Västerås thu xếp điền sản của mẹ mình sau cái chết của bà. Sebastian đã rút chân khỏi ngành cảnh sát sau cái chết của vợ và con gái trong trận sóng thần Ấn Độ Dương năm 2004. Khi Cục Điều tra Tội phạm nhờ Sebastian giúp sức trong vụ án mạng Roger, với tính kiêu ngạo của mình, ban đầu Sebastian tỏ ra xa cách với đồng đội. Nhưng rồi khi đi sâu vào vụ án, ông bắt xóa bỏ dần khoảng cách và cùng đội điều tra phát hiện ra những bất thường tại trường tư thục Roger đang theo học.
Nhật Thực;SKU: 8934974154365;Loại sản phẩm: Nhóm Sách Văn Học Nước Ngoài;109,650₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Stephenie Meyer;680;14 x 20;856;Bìa Mềm;"Tiếp theo hai tập CHẠNG VẠNG và TRĂNG NON (trong đó, bộ phim cùng tên Chạng Vạng đã được chiếu ở Việt Nam vào cuối năm 2008 và tạo nên một cơn sốt trong giới trẻ), tập 3 – NHẬT THỰC tiếp tục dẫn dắt bạn đọc dõi theo chuyện tình đầy trắc trở và cảm động của đôi tình nhân Bella và Edward - một ma cà rồng. Tiếp theo hai tập CHẠNG VẠNG và TRĂNG NON (trong đó, bộ phim cùng tên Chạng Vạng đã được chiếu ở Việt Nam vào cuối năm 2008 và tạo nên một cơn sốt trong giới trẻ), tập 3 – NHẬT THỰC tiếp tục dẫn dắt bạn đọc dõi theo chuyện tình đầy trắc trở và cảm động của đôi tình nhân Bella và Edward - một ma cà rồng. Ngoài sự săn đuổi của kẻ tử thù quen thuộc - Victoria, đôi bạn tình còn phải đối phó với rất nhiều thử thách: sự hận thù truyền kiếp của người sói; những khúc mắc trong tình bạn – tình yêu; sự chọn lựa giữa hai con đường sống và chết; những giới hạn không thể vượt qua trên con đường vươn tới sự hoàn thiện hoàn mỹ… Sách viết hồi hộp, hấp dẫn từ đầu chí cuối, với một kết thúc đủ để làm bạn đọc hài lòng và nuối tiếc chờ đợi phần tiếp theo."
Harry Potter Và Hoàng Tử Lai - Tập 6;SKU: 8934974149590;Loại sản phẩm: Nhóm Sách Văn Học Nước Ngoài;210,700₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;J.K.Rowling;;;;;Trong cuộc phiêu lưu tăm tối và nghẹt thở nhất của mình, J.K.Rowling bắt đầu tài tình tháo gỡ từng mắc lưới phức tạp mà cô đã mạng lên, cũng là lúc chúng ta khám phá ra sự thật về Harry, cụ Dumblebore, thầy Snape và, tất nhiên, Kẻ Chớ Gọi Tên Ra… Đây là năm thứ 6 của Harry Potter tại trường Hogwarts. Trong lúc những thế lực hắc ám của Voldemort gieo rắc nỗi kinh hoàng và sợ hãi ở khắp nơi, mọi chuyện càng lúc càng trở nên rõ ràng hơn đối với Harry, rằng cậu sẽ sớm phải đối diện với định mệnh của mình. Nhưng liệu Harry đã sẵn sàng vượt qua những thử thách đang chờ đợi phía trước? Trong cuộc phiêu lưu tăm tối và nghẹt thở nhất của mình, J.K.Rowling bắt đầu tài tình tháo gỡ từng mắc lưới phức tạp mà cô đã dựng lên, cũng là lúc chúng ta khám phá ra sự thật về Harry, cụ Dumblebore, thầy Snape và, tất nhiên, Kẻ Chớ Gọi Tên Ra… ‘Diễn biến nhanh, huyền bí, hấp dẫn và chặt chẽ trong từng chi tiết.’ - Daily Mail
Nghệ Thuật Quyến Rũ (Tái Bản 2019);SKU: 8934974161233;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;210,700₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Robert Greene;900;16 x 24;663;Bìa Mềm;Tất cả chúng ta đều có sức hấp dẫn, lôi cuốn người khác nhưng không phải ai cũng ý thức và nhận ra được khả năng tiềm tàng này trong mình. Làm sao để nhận thức và phát triển những lợi điểm của bản thân để mỗi người trở lên thu hút và lôi cuốn hơn trước mọi người? Tất cả chúng ta đều có sức hấp dẫn, lôi cuốn người khác nhưng không phải ai cũng ý thức và nhận ra được khả năng tiềm tàng này trong mình. Làm sao để nhận thức và phát triển những lợi điểm của bản thân để mỗi người trở lên thu hút và lôi cuốn hơn trước mọi người? Nghệ thuật quyến rũ là một cuốn sách thú vị giúp bạn khám phá và phát huy những lợi điểm vốn có trong bạn để tạo ảnh hưởng đối với người khác thông qua một số phương pháp và kỹ năng được hướng dẫn cụ thể. Bên cạnh đó sách cũng giới thiệu và phân tích minh họa những mẫu người quyến rũ và không quyến rũ điển hình có thật trong lịch sử cũng như trong các tác phẩm văn học để bạn có thể đối chứng và học hỏi thêm từ họ. Hi vọng sau khi đọc xong cuốn sách này mỗi chúng ta đều trở nên quyến rũ và thuyết phục hơn trong mắt mọi người.
Đời Nghệ Sĩ - Không Chỉ Có Ánh Hào Quang;SKU: 8934974135524;Loại sản phẩm: Nhóm Sách Văn Học Việt Nam;254,800₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;;Nhiều Tác Giả;600;16 x 23;403;Bìa Mềm;"Việc ghi chép những câu chuyện đời nghệ sĩ, thoạt tiên nghe chừng như là một cách giải trí đơn giản với người đọc, nhưng khi lăng kính cứ lướt dần qua những số phận thăng trầm, những tấm gương kiên tâm dựng nghiệp, thì đời sống muôn màu đã được dựng lại với ít nhiều điều đáng chiêm nghiệm cho mình, cho đời. Việc ghi chép những câu chuyện đời nghệ sĩ, thoạt tiên nghe chừng như là một cách giải trí đơn giản với người đọc, nhưng khi lăng kính cứ lướt dần qua những số phận thăng trầm, những tấm gương kiên tâm dựng nghiệp, thì đời sống muôn màu đã được dựng lại với ít nhiều điều đáng chiêm nghiệm cho mình, cho đời. ĐỜI NGHỆ SĨ, một chuyên mục trên báo TUỔI TRẺ lâu nay không nằm ngoài con đường đó. Từ cuộc đời những con người đã thành danh (nhạc sĩ, ca sĩ, diễn viên, đạo diễn…), bạn đọc cũng đã nhận ra đằng sau vinh quang và nụ cười là không ít đắng cay và nước mắt, đằng sau mỗi thăng hoa có được là không ít nỗi nhọc nhằn, không ít lầnmất mát. Những mất mát không dễ nhìn thấy, cũng chẳng dễ nói ra, 51 bài viết bởi thế không chỉ là 51 cuộc đời, mà là vô vàn những buồn vui, được mất… Mời bạn đón đọc một tập sách chân dung độc đáo với sự hội tụ đông đảo của nhiều nghệ sĩ nổi danh được thể hiện qua những bài viết của các nhà văn nhà báo quen thuộc, và đặc biệt của nhiều cây bút ""không thường thấy"": ca sĩ Ánh Tuyết; nhạc sĩ Trần Tiến, Tuấn Khanh; đạo diễn Đinh Anh Dũng, Victor Vũ; diễn viên Dustin Nguyễn… Và như thế, sau mỗi trang sách là rất là nhiều cửa sổ để bạn ngắm nhìn vào một thế giới không chỉ có hào quang…"
Tâm Lý Học Trẻ Em;SKU: 8934974181071;Loại sản phẩm: SÁCH;175,500₫;;NXB Trẻ;2022;TS Phạm Toàn;550;20 x 14 cm;532;Bìa Mềm;Trẻ em luôn là nguồn vui, là niềm hạnh phúc và hy vọng của gia đình, và cũng là tài sản cho một đất nước trong tương lai, nhưng điều này sẽ hoàn toàn lệ thuộc vào sự hiểu biết về trẻ thơ và các vấn đề chăm sóc, nuôi dạy của chúng ta. Hiểu rõ sự phát triển của trẻ trên cả hai mặt thể chất và tinh thần sẽ giúp các bậc cha mẹ và các nhà giáo hoàn thiện hơn khả năng chăm sóc và dạy dỗ con em. Để có sự hiểu biết đầy đủ hơn về trẻ em, tập sách này có chủ đích ghi lại những chi tiết thuộc về tiến trình phát triển của trẻ trên cả hai mặt thể chất và tinh thần đã được ngành y học hiện đại nghiên cứu và khảo sát trong suốt các thập niên gần đây. Sách được chia làm 3 phần: - Phần 1: Bao gồm 4 chương bàn về các vấn đề sinh hoạt tổng quát liên quan đến lãnh vực sinh lý cơ thể và tâm lý của con người. - Phần 2: Bao gồm 11 chương. Đặc biệt mỗi chương đề cập đến một đề tài liên hệ đến quá trình phát triển các mặt trí tuệ, tính khí, nhận thức, trí nhớ, giới tính, v. v. cùng với sự khôn lớn của trẻ trong các bối cảnh gia đình, học đường và xã hội. - Phần 3: Bảng thuật ngữ tâm lý học trẻ em. Các kiến thức trong sách không chỉ bổ ích cho các bậc phụ huynh mà nó cũng vô cùng cần thiết cho mọi chuyên viên trong ngành giáo dục, đặc biệt là đối với các giáo chức và sinh viên trong ngành sư phạm mẫu giáo.
Robert Greene - 33 Chiến Lược Của Chiến Tranh - Tái Bản 2021;SKU: 8934974174509;Loại sản phẩm: Sách;193,500₫;;NXB Trẻ;2021;Robert Greene;300;;586;Bìa Mềm;Bao quát nhiều nền văn minh thế giới, tóm lược lịch sử hàng ngàn năm xung đột, tập hợp những nguyên tắc quân sự hiệu quả và thiên tài bậc nhất, 33 Chiến lược chiến tranh là bản hướng dẫn đầy đủ, chi tiết giúp bạn sống sót trong cuộc chiến xã hội diễn ra hằng ngày. Các chiến lược tấn công giúp bạn luôn dẫn thế thượng phong và thương lượng từ điểm mạnh của mình, chiến lược phòng thủ giúp bạn phản ứng với các tình huống nguy hiểm và tránh những cuộc chiến không thể chiến thắng. Dù ở chiến trường hay trong văn phòng, những chiến binh vĩ đại đều là những người khôn khéo, thức thời, biết cách giữ cân bằng, điềm tĩnh và am hiểu lý lẽ. Là một cuốn sách không thể thiếu, 33 Chiến lược chiến tranh trang bị cho bạn tất cả những gì bạn cần để vượt qua thất bại và chiến thắng. Đây thực sự là cuốn Binh pháp hiện đại.
Chọn sống hạnh phúc;SKU: 8934974170129;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;99,450₫;;NXB Trẻ;;Deborah K Heisz;480;20.5 x 13 cm;442;Bìa Mềm;Một hướng dẫn đầy cảm hứng và đáng ngạc nhiên để có những thói quen sống hạnh phúc từ các chuyên gia tại tạp chí Live Happy, ấn phẩm phong cách sống hàng đầu cống hiến cho công cuộc mưu cầu hạnh phúc đích thực của muôn đời. Chúng ta ai cũng muốn sống hạnh phúc. Nhưng hạnh phúc đích thực là thế nào, và làm sao chúng ta đạt được? Trong cuốn sách Chọn sống hạnh phúc, những người nổi tiếng như ca sĩ Alanis Morissette và nhà báo truyền hình Hoda Kotb, các nhà lãnh đạo tư duy như Gretchen Rubin, nhà tâm lý học tích cực có sách bán chạy Shawn Achor, và nhiều con người bình thường ở muôn nẻo đường cuộc sống tiết lộ làm thế nào những hành vi nhỏ nhặt hằng ngày lại dẫn đến niềm hạnh phúc và viên mãn cả đời. Bố cục thành mười yếu tố của một cuộc đời hạnh phúc, từ lòng biết ơn đến thái độ và sống có mục đích, Chọn sống hạnh phúc tập hợp những câu chuyện hạnh phúc đời thực tỏa sáng, những ví dụ mở mắt về khoa học hạnh phúc, và những “hành động hạnh phúc” đơn giản và cảm hứng mỗi ngày để đạt những đột phá hạnh phúc lớn lao. Khắp thế giới — từ giảng đường Harvard đến các hành lang trụ sở Liên hiệp quốc, nơi đã chọn ngày 20 tháng 3 là Ngày Quốc tế Hạnh phúc — chúng ta đều khao khát hạnh phúc sâu sắc trong tâm hồn. Hàng triệu con người quan tâm câu hỏi làm thế nào để hạnh phúc thực sự — và Chọn sống hạnh phúc cho bạn đọc thấy hạnh phúc đích thực không chỉ trong tầm với, mà còn hiện thân trong cuộc sống và tạo nên khác biệt tích cực và lâu dài cho đời.
Waterloo - Lịch Sử Bốn Ngày, Ba Bên Và Ba Trận Đánh;SKU: 8934974173779;Loại sản phẩm: SÁCH;175,500₫;;NXB Trẻ;2021;Bernard Cornwell;450;23 x 15.5 cm;446;Bìa Mềm;"Cuốn sách viết về trận đánh cuối cùng của Napoleon, trên thực tế mô tả cuộc đối đầu giữa ba bên: Pháp – Anh – Phổ tại chiến địa này. Sách viết về Waterloo đã có nhiều trên thị trường, nhưng đây là cuốn sách hiếm hoi khá trung lập, nghiêng về quân sự nhiều hơn là chính trị. Sách tập hợp nhiều tường thuật sống động, giúp người đọc hình dung bức tranh tráng lệ và kinh hoàng tại Waterloo. Có lẽ nhiều người sẽ thích thú với các chi tiết chiến thuật khá dày đặc. Ví dụ như trò chơi oản tù tì (bao-búa–kéo) giữa kị binh, ô vuông và hàng dài; việc sử dụng các loại đạn pháo khác nhau; tính hiệu quả của từng loại đạn pháo; các vũ khí sử dụng trên chiến trường Cách ém quân sau đồi để tránh pháo, việc chia cắt quân địch bằng cách giữ chân ở một bên và tấn công tổng lực ở bên khác v.v… Nhưng trên hết, cuốn sách mô tả cuộc đối đầu giữa ba nhân vật (kèm với đó là nhiều nhân vật phụ khác) cùng những hành xử và tính toán khác nhau: Napoleon, Wellington và Blücher. Có thể nói đây là trận chiến giữa hai nhân vật chính Napoleon và Wellington, nhưng người quyết định cuối cùng lại là Blücher. Những thất bại và chiến thắng, những toan tính, những sai lầm, những chi tiết được lắp ghép tinh vi, ý chí, quyết tâm, sự dũng cảm, nỗi đau, nước mắt, cái chết, sự may rủi, sự mong manh của phận người trong chiến tranh, và tất cả những cảm xúc tột cùng khác. Tất cả giống như một canh bạc liều, hay một sự nghiệp, một cuộc cạnh tranh, một trận quyền anh, tùy theo bạn, nhưng bạn sẽ không buông cuốn sách này khi đã cầm nó lên.. Sách có nhiều bản đồ thể hiện rõ các trận đánh, giúp sách mang tính tư liệu rất cao. Ngoài ra còn có nhiều bức tranh mô phỏng những nhân vật để cập trong sách, giúp cuốn sách trở nên rất sống động."
Làm Cha Mẹ Thích Nghi Hay Là Chết?;SKU: 8934974165224;Loại sản phẩm: Nhóm Sách Nuôi Dạy Con;99,450₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2019;Nhiều Tác Giả;420;21 x 21;245;Bìa Mềm;Nhưng bằng những chứng cứ khoa học trong suốt nhiều năm nghiên cứu của mình, ông Ibuka đã chỉ ra rằng chính sự chưa trưởng thành khiến trẻ em sơ sinh có khả năng vô tận. Làm Cha Mẹ Thích Nghi Hay Là Chết? Lý giải hài hước cho các tình huống dở khóc dở cười của cha mẹ. Nhưng bằng những chứng cứ khoa học trong suốt nhiều năm nghiên cứu của mình, ông Ibuka đã chỉ ra rằng chính sự chưa trưởng thành khiến trẻ em sơ sinh có khả năng vô tận. Hãy so sánh trẻ em với những loài động vật khác trong thế giới tự nhiên. Khi chúng được sinh ra, chúng đã có những bản năng cơ bản như có thể tự đi lại, có thể tự bơi sau một vài giờ đồng hồ. Nhưng con của chúng ta lại không biết gì ngoài việc khóc và bú.
Lên Tàu Cùng Socrates - Đi Tìm Ý Nghĩa Cuộc Sống Từ Các Triết Gia;SKU: 8934974180036;Loại sản phẩm: sách;175,500₫;;NXB Trẻ;2022;Eric Weiner;420;23 x 15.5 cm;436;Bìa Mềm;Một cuốn sách viết về triết học, nói những điều triết lý nhưng lại rất đời thường, thiết thực và dễ hiểu. Tác giả chia sẻ những câu chuyện, trải nghiệm của mình khi đi tìm câu trả lời cho những câu hỏi cơ bản của cuộc sống. Mỗi chương như một cuộc đối thoại của tác giả với một triết gia. Đó là 14 vị triết gia thông thái, theo những kiểu khác nhau, với đa dạng những sắc thái trí tuệ. Sự hiện diện của họ bao trùm lên một khoảng thời gian dài đằng đẵng – Socrates sống ở thế kỷ thứ năm trước công nguyên, Simone de Beauvoir ở thế kỷ 20 – và một không gian rộng bao la: từ Hy Lạp đến Trung Quốc, Đức đến Ấn Độ. Họ đều đã qua đời, nhưng những nhà triết học lỗi lạc không bao giờ chết thực sự, mà họ tiếp tục sống trong tâm trí người khác. Trí tuệ có tính lưu động, vượt lên trên không gian và thời gian, và mãi mãi không lỗi thời.
Bộ Công Cụ Chiến Lược Nội Dung;SKU: 8934974174561;Loại sản phẩm: SÁCH;175,500₫;;NXB Trẻ;2021;Meghan Casey;320;23 x 15.5 cm;308;Bìa Mềm;Bộ Công Cụ Chiến Lược Nội Dung: Các Phương Pháp Chỉ Dẫn Và Mô Hình Xây Dựng Nội Dung Dành Cho Những Người Sáng Tạo Nội Dung Là một “content creator” (người sáng tạo nội dung), bạn hẳn đã ở các tình thế: - Phải chỉ ra content của khách hàng hoặc của công ty mình làm việc đang rất có vấn đề - đó là lý do khách hàng tiềm năng không biết tới hoặc biết tới mà bỏ qua sản phẩm của doanh nghiệp/tổ chức? - Cần đưa ra mức ngân sách hợp lý để thực hiện các công việc liên quan đến content? - Cần hướng tất cả các bên liên quan về cùng một tầm nhìn?
Nước Mỹ Trong Mắt Trump;SKU: 8934974169697;Loại sản phẩm: Nhóm Sách KHKT - Y Học - Kiến Thức Tổng Hợp;100,980₫;;;;;;;;;"Là cuốn sách mới nhất của B.O’Reilly, xuất bản cuối 2019, được viết dưới dạng kể chuyện từ những cuộc phỏng vấn trực tiếp của O’Reilly với Tổng thống Mỹ D.Trump và gia đình theo mạch thời gian kèm theo một số bình luận của tác giả; cũng như nghiên cứu của tác giả về các chủ đề liên quan. O’Reilly đã tìm cách lý giải những động lực thúc đẩy Donald Trump trong cuộc sống và cụ thể hơn là trong quyết định tạm gác lại những xa hoa phú quý của một ông trùm bất động sản để tuyên bố tranh cử Tổng thống; chỉ ra sức hút của ông Trump đối với cử tri Mỹ trong năm 2016. Những lập luận và khung phân tích của tác giả chắc chắn rất có ích trong phân tích cuộc tổng tuyển cử Mỹ năm 2020. Ngôn ngữ sắc sảo và ngắn gọn, cùng sự cẩn trọng chi tiết trong nghiên cứu về chủ thể của tác giả mang lại sự hấp dẫn đặc biệt khó cưỡng đối với ai muốn biết về tổng thống Mỹ D. Trump- trong đời thường và trong chính trường."
Ngữ Pháp Tình Yêu - Tuyển Truyện Ngắn Nga Chọn Lọc Thế Kỷ XX-XXI;SKU: 8934974152446;Loại sản phẩm: Nhóm Sách Văn Học Nước Ngoài;194,040₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2017;Nhiều Tác Giả;560;16 x 23;552;Bìa Mềm;"Tuyển tập truyện ngắn Nga chọn lọc của các tác giả hiện đại tiêu biểu (thế kỷ XX - XXI) vừa chọn in lại những truyện ngắn mẫu mực của ""kỉ nguyên Bạc"" (giao thời thế kỉ XIX-XX) thuộc thời kỳ Xô Viết, bổ sung thêm một số tác giả, tác phẩm chưa từng được dịch ở Việt Nam, vừa cập nhật mảng truyện ngắn thời kỳ tiền và hậu Xô Viết (giao thời thế kỷ XX-XXI) ít được biết tới, để làm thành bức tranh toàn cảnh 100 năm truyện Ngắn Nga. Tuyển tập truyện ngắn Nga chọn lọc của các tác giả hiện đại tiêu biểu (thế kỷ XX - XXI) vừa chọn in lại những truyện ngắn mẫu mực của ""kỉ nguyên Bạc"" (giao thời thế kỉ XIX-XX) thuộc thời kỳ Xô Viết, bổ sung thêm một số tác giả, tác phẩm chưa từng được dịch ở Việt Nam, vừa cập nhật mảng truyện ngắn thời kỳ tiền và hậu Xô Viết (giao thời thế kỷ XX-XXI) ít được biết tới, để làm thành bức tranh toàn cảnh 100 năm truyện Ngắn Nga. Qua đó, lịch sử nước Nga nói chung và văn học Nga (trong đó có truyện ngắn) nói riêng, cho thấy tính gắn bó máu thịt của văn học Nga đối với thời cuộc, vị thế quan trọng của nhà văn đối với quốc gia, dân tộc. Mặc khác, một loạt truyện ngắn qua các thời kỳ hiện diện đồng đại trong cùng một cuốn sách, tạo điều kiện thuận lợi cho những liên tưởng, so sánh để thấy được sự phong phú về đề tài, phong cách, thi pháp, đặc biệt là sự đổi mới thể loại, sự thay đổi những quan niệm cổ điển về truyện ngắn. Sự cách tân thể loại này không chỉ nhờ cậy vào ""kí ức thể loại"", mà còn ở việc tự ""làm giàu"" bằng cách dung hợp những cái hay, cái đẹp của tất cả các trường phái sáng tác nở rộ đầu thế kỷ XX, tái nở rộ vào đầu thế kỷ XXI trong văn học Nga."
Hãng Luật;SKU: 8934974183136;Loại sản phẩm: sách;180,000₫;;NXB Trẻ;2022;John Grisham;650;20 x 14 cm;636;Bìa Mềm;"Khi luật sư trẻ Mitch McDeere ký hợp đồng với Hãng Luật Bendini, Lambert & Locke của Memphis, anh đã nghĩ mình đang chạm đến một giấc mơ tươi đẹp. Công ty hoàn hảo, tiền tài và danh vọng đều trong tầm tay. Lẽ ra, anh phải nhớ nằm lòng một điều: chẳng có gì là miễn phí. Hạnh phúc không bao giờ từ trên trời rơi xuống mà luôn có một cái giá rất đắt. Và bây giờ, FBI đang đề nghị Mitch McDeere giúp đỡ điều tra. Nếu muốn sống, anh chỉ có một lựa chọn duy nhất… The Firm – Hãng Luật là một siêu phẩm của John Grisham. Ngay khi ra mắt lần đầu vào năm 1991, tác phẩm đã nhanh chóng trở thành bestseller, đứng trong danh sách bán chạy của The New York Times 47 tuần và bán ra hơn bảy triệu bản. Cuốn sách được chuyển thể thành bộ phim cùng tên ra mắt vào năm 1993 với sự tham gia diễn xuất của ngôi sao Tom Cruise, cũng như một loạt phim truyền hình vào năm 2012 với nội dung là ""tiếp tục câu chuyện của luật sư Mitchell McDeere và gia đình anh 10 năm sau."" John Grisham là một tác giả người Mỹ nổi tiếng với những tiểu thuyết trinh thám hình sự. Nhà văn từng đoạt giải Galaxy British Book Awards này là tác giả của 25 tiểu thuyết, nhiều truyện ngắn và loạt truyện dành cho trẻ em. Sách của ông đã được dịch sang 42 thứ tiếng và xuất bản trên toàn thế giới, nhiều tác phẩm trong số đó đã được chuyển thể thành phim điện ảnh và phim truyền hình. Ông cũng là một trong số ba tác giả ít ỏi bán được hai triệu cuốn trong bản in đầu tiên (hai tác giả kia là Tom Clancy và J. K. Rowling)."
Trịnh Công Sơn - Thư Tình Gửi Một Người;SKU: 8934974175230;Loại sản phẩm: SÁCH;175,500₫;;NXB Trẻ;2022;Trịnh Công Sơn;450;26 x 23 x 1.5 cm;356;Bìa Mềm;"Trịnh Công Sơn - Thư Tình Gửi Một Người Tập Thư tình gửi một người của Nhà xuất bản Trẻ ra mắt nhân kỷ niệm mười năm ngày nhạc sĩ Trịnh Công Sơn từ trần (1/4/2001 - 1/4/2011); đầu sách này cũng ở trong số các ấn phẩm đặc biệt ra đời trong tháng kỷ niệm 30 năm ngày thành lập Nhà xuất bản Trẻ (1981 - 2011). Thông qua những lá thư của nhạc sĩ Trịnh Công Sơn gửi cô gái Huế có tên Ngô Vũ Dao Ánh, người đọc không chỉ tìm thấy vẻ đẹp kỳ diệu của một tình yêu huyền nhiệm mà còn hiểu được những lo âu, dằn vặt triền miên của nhạc sĩ về kiếp người, về lòng tin và những điều tốt đẹp đang bị mai một dần trong cõi nhân gian. Bên cạnh gia tài đồ sộ về âm nhạc của Trịnh Công Sơn, đây có thể được xem là một áng văn chương thật ấn tượng trong đời hoạt động nghệ thuật của ông. Tập Thư tình gửi một người này được thực hiện với hai loại ấn bản: thông thường và đặc biệt. Trong những lá thư, có khá nhiều từ tiếng Pháp cũng như có nhiều trích dẫn cần được chuyển sang Việt ngữ hoặc chú giải; công việc tạm dịch nghĩa và chú giải có thể chưa hoàn toàn chính xác với những gì nhạc sĩ Trịnh Công Sơn muốn nói trong thư. Rất mong được bạn đọc góp ý để nếu ấn phẩm tái bản trong tương lai sẽ hoàn chỉnh hơn."
48 Nguyên Tắc Chủ Chốt Của Quyền Lực (Tái Bản 2020);SKU: 8934974165569;Loại sản phẩm: Nhóm Sách Tâm Lý - Kỹ Năng Sống;196,000₫;Nhà Xuất Bản Trẻ;Nhà Xuất Bản Trẻ;2020;Robert Greene;550;16 x 24;504;Bìa Mềm;Quyền lực có sức hấp dẫn vô cùng mạnh mẽ đối với con người trong mọi thời, ở mọi nơi, với mọi giai tầng. Lịch sử xét cho cùng là cuộc đấu tranh triền miên để giành cho bằng được quyền lực cai trị của các tập đoàn thống trị, từ cổ chí kim, từ đông sang tây. Quyền lực có sức hấp dẫn vô cùng mạnh mẽ đối với con người trong mọi thời, ở mọi nơi, với mọi giai tầng. Lịch sử xét cho cùng là cuộc đấu tranh triền miên để giành cho bằng được quyền lực cai trị của các tập đoàn thống trị, từ cổ chí kim, từ đông sang tây. Quyền lực là thứ mà rất nhiều người mong muốn nhưng không phải ai cũng dễ dàng đạt được. Vươn lên những vị trí cao hơn trong thang bậc xã hội thường được xem là một khát khao rất con người. Nhưng, liệu có phải chỉ những tài năng xuất chúng mới có thể đạt được điều đó? Không hẳn vậy. Bởi ít ai biết rằng, để giành được một vị trí quyền lực thực tế vẫn mang tính công thức. Qua nghiên cứu lịch sử nhân loại, với những nhân vật có quyền lực nhất tự cổ chí kim, Robert Greene đã khái quát nên 48 nguyên tắc tạo nên quyền lực một cách có cơ sở khoa học. Mỗi nguyên tắc đều được tác giả phân tích, giải thích rõ ràng, mang tính thuyết phục cao và cực kỳ hấp dẫn. Một số quy luật đòi hỏi sự khôn ngoan sắc sảo, một số cần sự lén lút và một số khác hoàn toàn vắng mặt lòng thương xót… Nhưng dù bạn thích hay không thích, tất cả những quy luật này đều có nhiều ứng dụng trong các tình huống thực tế của cuộc đời. Phi luân lý, xảo quyệt, nhẫn tâm và dồi dào tư liệu, “48 nguyên tắc chủ chốt của quyền lực” của Robert Greene hoàn toàn có thể giúp bạn vươn tới những đỉnh cao quyền lực và cũng có thể giúp bạn đạt được tột đỉnh vinh quang.
Netflix Phá Bỏ Nguyên Tắc Để Bứt Phá;SKU: 8934974176091;Loại sản phẩm: SÁCH;178,200₫;;NXB Trẻ;2022;Reed Hastings, Erin Meyer;600;15x23 cm;406;Bìa Mềm;Thông tin sản phẩm
